Action Item,Date Created,Completed
"Follow workflow guidelines: pulling origin, merging main, running lint and tests locally, THEN submitting PR",2021-02-21T21:01:46.004Z,
Make sure people's time isn't wasted - only those relevant to a particular PR ,2021-02-21T21:00:59.040Z,
Review others PRs more often,2021-02-21T20:59:11.184Z,
"Recommendation for test-driven development: plan out functions, write tests first, THEN implement the function",2021-02-21T20:57:20.217Z,
Code check-ins by Viren and Arsen during Thursday team meeting after standup,2021-02-21T20:55:45.573Z,
More detailed issues in sprint planning so that people can push PRs more frequently,2021-02-21T20:54:43.167Z,
Modularization needs to be a part of sprint planning for Sprint 3,2021-02-21T20:52:25.983Z,
Tuesday and Saturday 9 PM PST synchronous standup with camera on. First 15 minutes of team meeting on Thursday 2 PM PST will be for standup,2021-02-21T20:52:01.413Z,
Better delegation of tasks within feature groups,2021-02-21T20:45:31.079Z,
Meeting sometime this week to review design and system diagram status,2021-02-21T20:44:24.032Z,
Normalize creating GH issues based on what is being discussed as problems in Slack,2021-02-21T20:43:26.891Z,
